country,code,region_code,region,admin_region_code,admin_region,income_level_code,income_level,lending_type_code,lending_type
Montenegro,MNE,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD
Mongolia,MNG,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),LMC,Lower middle income,IBD,IBRD
Northern Mariana Islands,MNP,EAS,East Asia & Pacific,,,HIC,High income,LNX,Not classified
Mozambique,MOZ,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
Mauritania,MRT,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IDX,IDA
Mauritius,MUS,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),UMC,Upper middle income,IBD,IBRD
Malawi,MWI,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
Malaysia,MYS,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD
Namibia,NAM,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),UMC,Upper middle income,IBD,IBRD
New Caledonia,NCL,EAS,East Asia & Pacific,,,HIC,High income,LNX,Not classified
Niger,NER,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
Nigeria,NGA,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IDB,Blend
